category,month,date,n_sampled,n_with_text,k_ack,p,lo,hi,n_about_llm,k_ack_incl_about,k_llm_term_anywhere,n_flagged_for_review,pct_with_ack_section
math-ph,2023-01,2023-01-15,91,91,0,0.0,0.0,0.04050400454197976,0,0,0,0,72.5
math-ph,2023-04,2023-04-15,96,96,0,0.0,0.0,0.03847558844130279,0,0,0,0,62.5
math-ph,2023-07,2023-07-15,102,102,0,0.0,0.0,0.03629446269825417,0,0,0,0,71.6
math-ph,2023-10,2023-10-15,119,119,0,0.0,0.0,0.031271680719846165,0,0,1,1,66.4
math-ph,2024-01,2024-01-15,107,107,0,0.0,0.0,0.03465723854654379,0,0,0,1,66.4
math-ph,2024-04,2024-04-15,88,88,0,0.0,0.0,0.04182706729714562,0,0,1,1,72.7
math-ph,2024-07,2024-07-15,118,118,0,0.0,0.0,0.031528339504195695,0,0,1,1,65.3
math-ph,2024-10,2024-10-15,120,120,0,0.0,0.0,0.03101916689287469,0,0,0,0,75.0
math-ph,2025-01,2025-01-15,93,93,0,0.0,0.0,0.03966750321269624,0,0,1,1,75.3
math-ph,2025-04,2025-04-15,96,96,0,0.0,0.0,0.03847558844130279,0,0,0,0,61.5
math-ph,2025-07,2025-07-15,108,108,0,0.0,0.0,0.03434736026980092,0,0,0,0,72.2
math-ph,2025-10,2025-10-15,120,120,2,0.016666666666666666,0.004582564524701124,0.05873596347174441,0,2,2,2,69.2
math-ph,2026-01,2026-01-15,112,112,4,0.03571428571428571,0.013974612297620398,0.08824663901992448,0,4,3,4,70.5
math-ph,2026-04,2026-04-15,120,120,7,0.058333333333333334,0.028541009844239948,0.11552592091113272,0,7,7,7,67.5
math-ph,2026-07,2026-07-15,120,120,13,0.10833333333333334,0.06441141127876894,0.1765536027873162,1,13,12,14,71.7
quant-ph,2023-01,2023-01-15,120,120,0,0.0,0.0,0.03101916689287469,0,0,0,0,70.0
quant-ph,2023-04,2023-04-15,120,120,0,0.0,0.0,0.03101916689287469,0,0,1,1,66.7
quant-ph,2023-07,2023-07-15,120,120,0,0.0,0.0,0.03101916689287469,1,0,1,1,75.0
quant-ph,2023-10,2023-10-15,120,120,0,0.0,0.0,0.03101916689287469,0,0,2,2,75.0
quant-ph,2024-01,2024-01-15,120,120,0,0.0,0.0,0.03101916689287469,0,0,0,0,76.7
quant-ph,2024-04,2024-04-15,120,119,0,0.0,0.0,0.031271680719846165,0,0,2,2,79.0
quant-ph,2024-07,2024-07-15,120,118,0,0.0,0.0,0.031528339504195695,0,0,2,2,73.7
quant-ph,2024-10,2024-10-15,120,120,1,0.008333333333333333,0.00147255571707176,0.04569629172758835,1,1,3,3,75.8
quant-ph,2025-01,2025-01-15,120,119,0,0.0,0.0,0.031271680719846165,0,0,2,2,75.6
quant-ph,2025-04,2025-04-15,120,120,1,0.008333333333333333,0.00147255571707176,0.04569629172758835,1,1,4,4,70.8
quant-ph,2025-07,2025-07-15,120,120,1,0.008333333333333333,0.00147255571707176,0.04569629172758835,0,1,2,2,80.0
quant-ph,2025-10,2025-10-15,120,120,1,0.008333333333333333,0.00147255571707176,0.04569629172758835,0,1,2,2,77.5
quant-ph,2026-01,2026-01-15,120,120,7,0.058333333333333334,0.028541009844239948,0.11552592091113272,1,7,7,9,75.0
quant-ph,2026-04,2026-04-15,120,120,5,0.041666666666666664,0.01792671676662358,0.09384085288517821,0,5,6,7,75.0
quant-ph,2026-07,2026-07-15,120,119,17,0.14285714285714285,0.09114539800740312,0.21690580250677272,2,17,22,24,68.9
