Model version,Score,Raw score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Raw score standard error,Source,Notes
claude-fable-5_unknown,0.3861171366594359,0.7170000000000001,2026-06-09,Anthropic,United States of America,,,Claude Fable 5,0.008,https://andonlabs.com/evals/blueprint-bench-2,
gpt-5.5_unknown,0.36225596529284154,0.706,2026-04-23,OpenAI,United States of America,,,GPT-5.5,0.008,https://andonlabs.com/evals/blueprint-bench-2,
gemini-3.5-flash_unknown,0.336225596529284,0.694,2026-05-19,Google,United States of America,,,Gemini 3.5 Flash,0.006,https://andonlabs.com/evals/blueprint-bench-2,
gpt-5.6-sol_unknown,0.336225596529284,0.694,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Sol,0.006,https://andonlabs.com/evals/blueprint-bench-2,
gpt-5.6-terra_unknown,0.30802603036876364,0.681,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Terra,0.006,https://andonlabs.com/evals/blueprint-bench-2,
grok-4.5_unknown,0.2733188720173536,0.665,2026-07-08,xAI,United States of America,,,Grok 4.5,0.007000000000000001,https://andonlabs.com/evals/blueprint-bench-2,
gpt-5.4-2026-03-05_unknown,0.27114967462039047,0.664,2026-03-05,OpenAI,United States of America,,,GPT-5.4,0.018,https://andonlabs.com/evals/blueprint-bench-2,
gemini-3.1-pro-preview,0.2646420824295011,0.6610000000000001,2026-02-19,Google DeepMind,United States of America,,,Gemini 3.1 Pro,0.011,https://andonlabs.com/evals/blueprint-bench-2,
claude-opus-4-7_unknown,0.245119305856833,0.652,2026-04-16,Anthropic,United States of America,,,Claude Opus 4.7,0.009,https://andonlabs.com/evals/blueprint-bench-2,
gpt-5.6-luna_unknown,0.22559652928416485,0.643,2026-07-09,OpenAI,United States of America,,,GPT-5.6 Luna,0.004,https://andonlabs.com/evals/blueprint-bench-2,
claude-opus-4-8_unknown,0.14533622559652917,0.606,2026-05-28,Anthropic,United States of America,,,Claude Opus 4.8,0.01,https://andonlabs.com/evals/blueprint-bench-2,
claude-sonnet-4-6_unknown,0.06724511930585665,0.57,2026-02-17,Anthropic,United States of America,,,Claude Sonnet 4.6,0.011,https://andonlabs.com/evals/blueprint-bench-2,
kimi-k2.6,0.03904555314533626,0.557,2026-04-20,Moonshot,China,,,Kimi K2.6,0.015,https://andonlabs.com/evals/blueprint-bench-2,
claude-haiku-4-5-20251001_unknown,0.0,0.36700000000000005,2025-10-15,Anthropic,United States of America,,,Claude Haiku 4.5,0.017,https://andonlabs.com/evals/blueprint-bench-2,
gemini-3-flash-preview,0.0,0.534,2025-12-17,Google DeepMind,United States of America,,,Gemini 3 Flash,0.019,https://andonlabs.com/evals/blueprint-bench-2,
grok-4-20,0.0,0.17,2026-02-17,xAI,United States of America,,,Grok 4.20 Reasoning,0.011,https://andonlabs.com/evals/blueprint-bench-2,
grok-4-3,0.0,0.477,2026-04-17,xAI,United States of America,,,Grok 4.3,0.024,https://andonlabs.com/evals/blueprint-bench-2,
gemini-3.6-flash_unknown,0.31236442516268986,0.6830000000000002,2026-07-21,Google DeepMind,United States of America,,,Gemini 3.6 Flash,0.01,https://andonlabs.com/evals/blueprint-bench-2,
claude-opus-5_unknown,0.30368763557483736,0.679,2026-07-24,Anthropic,United States of America,,,Claude Opus 5,0.005,https://andonlabs.com/evals/blueprint-bench-2,
kimi-k3_unknown,0.29501084598698485,0.675,2026-07-16,Moonshot,China,2.0001e+25,"Based on peer models such as Kimi K2.6 and DeepSeek V4 Pro, plausibly was trained on roughly 30T tokens (likely between 15T and 60T). Using the heuristic that C = 6ND, 30T pretraining tokens would imply ~1.9e25 FLOP. This is a somewhat uncertain estimate (more uncertain than estimates based on disclosed active params and token counts, but comparable to estimates based on disclosed GPU-hours).

K3 was likely pretrained on over 1e25 FLOP. Speculatively, K3's relatively large size compared to other Chinese models may have reduced the training token budget vs smaller models.",Kimi K3,0.005,https://andonlabs.com/evals/blueprint-bench-2,
gemini-robotics-er-1.6-preview,0.0,0.47500000000000003,2026-04-14,Google,United States of America,,,Gemini Robotics-ER 1.6,0.021,https://andonlabs.com/evals/blueprint-bench-2,
grok-4.6_unknown,0.33188720173535774,0.692,2026-08-12,xAI,United States of America,,,Grok 4.6,0.009,https://andonlabs.com/evals/blueprint-bench-2,
claude-sonnet-5_unknown,0.24945770065075923,0.654,2026-06-30,Anthropic,United States of America,,,Claude Sonnet 5,0.007000000000000001,https://andonlabs.com/evals/blueprint-bench-2,
