Model version,Score,Reasoning level,Cost per task,Tokens per task,Steps per task,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Name,Rank,Source,Notes
claude-fable-5_max,0.705,Max,17.32,103525,72,2026-06-09,Anthropic,United States of America,,,Fable 5 Max,2,https://cursor.com/cursorbench,
claude-fable-5_xhigh,0.684,Extra High,11.73,64971,56,2026-06-09,Anthropic,United States of America,,,Fable 5 Extra High,6,https://cursor.com/cursorbench,
claude-fable-5_high,0.665,High,8.77,43747,48,2026-06-09,Anthropic,United States of America,,,Fable 5 High,10,https://cursor.com/cursorbench,
claude-opus-4-7_max,0.648,Max,11.02,62989,96,2026-04-16,Anthropic,United States of America,,,Opus 4.7 Max,5,https://cursor.com/cursorbench,
gpt-5.5_xhigh,0.584,Extra High,2.85,17534,32,2026-04-23,OpenAI,United States of America,,,GPT-5.5 Extra High,31,https://cursor.com/cursorbench,
claude-opus-4-8_max,0.623,Max,5.77,71411,44,2026-05-28,Anthropic,United States of America,,,Opus 4.8 Max,17,https://cursor.com/cursorbench,
gpt-5.5_high,0.584,High,2.05,12183,28,2026-04-23,OpenAI,United States of America,,,GPT-5.5 High,30,https://cursor.com/cursorbench,
claude-opus-4-8_xhigh,0.594,Extra High,4.5,51121,40,2026-05-28,Anthropic,United States of America,,,Opus 4.8 Extra High,26,https://cursor.com/cursorbench,
claude-opus-4-7_xhigh,0.616,Extra High,7.11,43942,72,2026-04-16,Anthropic,United States of America,,,Opus 4.7 Extra High,12,https://cursor.com/cursorbench,
claude-opus-4-7_high,0.594,High,5.01,32227,59,2026-04-16,Anthropic,United States of America,,,Opus 4.7 High,13,https://cursor.com/cursorbench,
gpt-5.5_medium,0.538,Medium,1.51,8522,25,2026-04-23,OpenAI,United States of America,,,GPT-5.5 Medium,40,https://cursor.com/cursorbench,
claude-opus-4-8_high,0.58,High,3.15,33548,33,2026-05-28,Anthropic,United States of America,,,Opus 4.8 High,32,https://cursor.com/cursorbench,
claude-opus-4-8_medium,0.561,Medium,2.81,28384,32,2026-05-28,Anthropic,United States of America,,,Opus 4.8 Medium,36,https://cursor.com/cursorbench,
glm-5.2_max,0.55,Max,1.76,35946,58,2026-06-16,Z.ai (Zhipu AI),China,,,GLM 5.2 Max,38,https://cursor.com/cursorbench,
claude-opus-4-8_low,0.531,Low,2.02,19624,27,2026-05-28,Anthropic,United States of America,,,Opus 4.8 Low,43,https://cursor.com/cursorbench,
claude-opus-4-7_medium,0.527,Medium,2.93,19193,41,2026-04-16,Anthropic,United States of America,,,Opus 4.7 Medium,19,https://cursor.com/cursorbench,
glm-5.2_high,0.515,High,1.19,21829,49,2026-06-16,Z.ai (Zhipu AI),China,,,GLM 5.2 High,46,https://cursor.com/cursorbench,
gemini-3.5-flash_unknown,0.498,,1.94,35105,79,2026-05-19,Google,United States of America,,,Gemini 3.5 Flash,22,https://cursor.com/cursorbench,
