open_date,open_model,eci,closed_first_reached,closed_model,lag_days
2023-02-24,LLaMA-7B,95.56,2023-03-14,GPT-4 (Mar 2023),-18
2023-02-24,LLaMA-33B,106.54,2023-03-14,GPT-4 (Mar 2023),-18
2023-02-24,LLaMA-65B,109.37,2023-03-14,GPT-4 (Mar 2023),-18
2023-07-18,Llama 2-70B,113.25,2023-03-14,GPT-4 (Mar 2023),126
2023-07-20,Stable Beluga 2,116.49,2023-03-14,GPT-4 (Mar 2023),128
2023-11-22,Yi-34B,116.75,2023-03-14,GPT-4 (Mar 2023),253
2023-12-11,Mixtral 8x7B,117.75,2023-03-14,GPT-4 (Mar 2023),272
2024-04-17,Mixtral 8x22B,120.96,2023-03-14,GPT-4 (Mar 2023),400
2024-04-18,Llama 3-70B,122.31,2023-03-14,GPT-4 (Mar 2023),401
2024-05-07,DeepSeek-V2 (MoE-236B),124.33,2023-03-14,GPT-4 (Mar 2023),420
2024-06-07,Qwen2-72B,124.99,2023-03-14,GPT-4 (Mar 2023),451
2024-07-23,Llama 3.1-405B,128.75,2024-06-20,Claude 3.5 Sonnet,33
2024-09-19,Qwen2.5-72B,128.79,2024-06-20,Claude 3.5 Sonnet,91
2024-12-12,Phi-4,130.85,2024-09-12,o1-preview,91
2024-12-26,DeepSeek-V3,132.87,2024-09-12,o1-preview,105
2025-01-20,DeepSeek-R1,139.56,2024-12-17,o1,34
2025-05-28,DeepSeek-R1 (May 2025),141.83,2024-12-17,o1,162
2025-07-25,Qwen3-235B-A22B (Jul 2025),144.67,2025-04-16,o3,100
2025-09-29,DeepSeek-V3.2-Exp,144.86,2025-04-16,o3,166
2025-11-06,Kimi K2 Thinking,145.94,2025-04-16,o3,204
2025-12-01,DeepSeek-V3.2,146.38,2025-04-16,o3,229
2026-01-27,Kimi K2.5,148.13,2025-08-07,GPT-5,173
2026-04-07,GLM-5.1,150.86,2025-11-18,Gemini 3 Pro,140
2026-04-20,Kimi K2.6,151.04,2025-11-18,Gemini 3 Pro,153
2026-06-16,GLM-5.2,152.14,2025-11-18,Gemini 3 Pro,210
2026-07-16,Kimi K3,157.49,2026-03-05,GPT-5.4 Pro,133
