Model version,Arena Score,Release date,Organization,Country,Training compute (FLOP),Training compute notes,Score 95% CI,Votes,Last updated,Source,Source link (site from table),Notes,95% CI High,95% CI Low,id
claude-fable-5_unknown,1653.93,2026-06-09,Anthropic,United States of America,,,,2095.0,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1669.45,1638.42,recSi4QzdnavF3cTZ
glm-5.2_max,1593.25,2026-06-16,Z.ai (Zhipu AI),China,,,,1994.0,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1607.98,1578.51,recluUH4AYBO78ZCx
claude-opus-4-7_unknown,1566.85,2026-04-16,Anthropic,United States of America,,,,5270.0,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1576.37,1557.33,recokJu1lFXavDpwj
claude-opus-4-7,1562.39,2026-04-16,Anthropic,United States of America,,,,4862.0,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1571.99,1552.79,rec1WC4J4E7jHLpxy
claude-opus-4-6_unknown,1556.29,2026-02-05,Anthropic,United States of America,,,,2553.0,,WebDev Arena Leaderboard,https://web.lmarena.ai/leaderboard,,1570.13,1542.44,rec42aGstj0e6Rset
claude-opus-4-6,1555.35,2026-02-05,Anthropic,United States of America,,,,3273.0,,WebDev Arena Leaderboard,https://web.lmarena.ai/leaderboard,,1567.97,1542.73,recMRozRLKk7DABCI
claude-opus-4-8_unknown,1552.22,2026-05-28,Anthropic,United States of America,,,,1578.0,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1568.57,1535.88,recOyBSiqPlt4m1jX
claude-opus-4-8_none,1545.05,2026-05-28,Anthropic,United States of America,,,,2011.0,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1559.39,1530.71,rec8wkAhd66Iij2V5
qwen3.7-max,1540.77,2026-05-19,Alibaba,China,,,,1522.0,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1556.82,1524.72,recGyDjr4OoaFgvGL
glm-5.1,1534.0,2026-04-07,Z.ai (Zhipu AI),China,,,,,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,,,reczQ82qDNkFeSOqt
MiniMax-M3,1527.75,2026-06-01,MiniMax,China,,,,1680.0,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1543.4,1512.1,recHxyTnN62z1YBDE
kimi-k2.6,1526.0,2026-04-20,Moonshot,China,,,,,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,,,recLmGhmz9Qq5pJ29
claude-sonnet-4-6,1522.86,2026-02-17,Anthropic,United States of America,,,,3150.0,,WebDev Arena Leaderboard,https://web.lmarena.ai/leaderboard,,1535.13,1510.6,recEydvPq3RwtFg6j
muse-spark,1512.53,2026-04-08,Meta AI,United States of America,,,,1608.0,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1528.6,1496.47,recRiDSRbOFjYObWz
claude-opus-4-5-20251101_32K,1512.0,2025-11-24,Anthropic,United States of America,,Flagship model from a leading developer in mid-2025; very likely it used >1e25 FLOP.,=+11/-11,4564.0,2026-01-05,WebDev Arena Leaderboard,https://web.lmarena.ai/leaderboard,,,,recQLSl4DM4fz7VAt
gemini-3.5-flash_unknown,1506.38,2026-05-19,Google,United States of America,,,,2213.0,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1519.85,1492.91,rec8SXNMSwKDPVpJj
gpt-5.5_xhigh,1504.74,2026-04-23,OpenAI,United States of America,,,,4126.0,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1514.79,1494.68,recumoLWu0fLBcJe2
qwen3.6-max-preview,1485.57,2026-04-20,Alibaba,China,,,,2498.0,,https://arena.ai/leaderboard,https://web.lmarena.ai/leaderboard,,1498.09,1473.04,recYpwnD5SNup5J30
