open_date,open_model,eci,closed_first_reached,closed_model,lag_days
2023-02-24,LLaMA-33B,107.18,2023-03-14,GPT-4 (Mar 2023),-18
2023-02-24,LLaMA-65B,109.95,2023-03-14,GPT-4 (Mar 2023),-18
2023-07-18,Llama 2-70B,113.74,2023-03-14,GPT-4 (Mar 2023),126
2023-07-20,Stable Beluga 2,116.92,2023-03-14,GPT-4 (Mar 2023),128
2023-11-22,Yi-34B,117.16,2023-03-14,GPT-4 (Mar 2023),253
2023-12-11,Mixtral 8x7B,118.15,2023-03-14,GPT-4 (Mar 2023),272
2024-04-17,Mixtral 8x22B,121.3,2023-03-14,GPT-4 (Mar 2023),400
2024-04-18,Llama 3-70B,122.63,2023-03-14,GPT-4 (Mar 2023),401
2024-05-07,DeepSeek-V2 (MoE-236B),124.59,2023-03-14,GPT-4 (Mar 2023),420
2024-06-07,Qwen2-72B,125.5,2023-03-14,GPT-4 (Mar 2023),451
2024-07-23,Llama 3.1-70B,125.53,2023-03-14,GPT-4 (Mar 2023),497
2024-07-23,Llama 3.1-405B,128.99,2024-06-20,Claude 3.5 Sonnet,33
2024-09-19,Qwen2.5-72B,129.12,2024-06-20,Claude 3.5 Sonnet,91
2024-12-12,Phi-4,131.05,2024-09-12,o1-preview,91
2024-12-26,DeepSeek-V3,132.98,2024-09-12,o1-preview,105
2025-01-20,DeepSeek-R1,139.65,2024-12-17,o1,34
2025-05-28,DeepSeek-R1 (May 2025),141.98,2024-12-17,o1,162
2025-07-25,Qwen3-235B-A22B (Jul 2025),144.76,2025-03-31,Gemini 2.5 Pro (Mar 2025),116
2025-09-29,DeepSeek-V3.2-Exp,144.84,2025-03-31,Gemini 2.5 Pro (Mar 2025),182
2025-11-06,Kimi K2 Thinking,145.97,2025-04-16,o4-mini,204
2025-12-01,DeepSeek-V3.2,146.56,2025-04-16,o3,229
2026-01-27,Kimi K2.5,148.24,2025-08-07,GPT-5,173
2026-04-20,Kimi K2.6,150.9,2025-11-18,Gemini 3 Pro,153
2026-06-16,GLM-5.2,151.57,2025-11-18,Gemini 3 Pro,210
